field_source_collection,field_source_collection_id,field_source_repository,field_source_citation,field_related_title_part_of,Status,mods_relatedItem_host_titleInfo_title_ms,mods_relatedItem_host_originInfo_dateCreated_ms,mods_relatedItem_host_identifier_ms,mods_relatedItem_host_identifier_local-asc_ms,mods_relatedItem_host_note_prefercite_ms,mods_relatedItem_note_prefercite_ms
"Henry Clay Frick Business Records, 1862-1987",AIS.2002.06,"Archives & Special Collections, University of Pittsburgh Library System","Henry Clay Frick Business Records, 1862-1987, AIS.2002.06, Archives & Special Collections, University of Pittsburgh Library System",,,Henry Clay Frick Business Records,1862-1987,AIS.2002.06,,,"Henry Clay Frick Business Records\, 1862-1987\, AIS.2002.06\, Archives & Special Collections\, University of Pittsburgh Library System"
"Henry Clay Frick Papers, Series VIII: Letterpress Copybooks, 1881-1923",HCFF.01.08,"The Frick Collection, Frick Art Research Library Archives","Henry Clay Frick Papers, Series VIII: Letterpress Copybooks, 1881-1923, HCFF.01.08, The Frick Collection, Frick Art Research Library Archives",,,Henry Clay Frick Papers,1882-1929,HCFF.1.2,,,"Henry Clay Frick Papers\, Series VIII: Letterpress Copybooks\, 1881-1923. The Frick Collection/Frick Art Reference Library Archives\, New York."
"Henry Clay Frick Papers, Series II: Correspondence, 1882-1929",FFP.01.02,"The Frick Collection, Frick Art Research Library Archives","Henry Clay Frick Papers, Series II: Correspondence, 1882-1929, FFP.01.02, The Frick Collection, Frick Art Research Library Archives",,,Henry Clay Frick Papers,1882-1929,HCFF.1.2,,,"Henry Clay Frick Papers\, Series II: Correspondence\, 1882-1929\, HCFF.1.2\, The Frick Collection / Frick Art Reference Library Archives\, New York"
"Edgar Thomson Works Letterpress Copy Book, 1876-1878",AIS.1994.03A,"Archives & Special Collections, University of Pittsburgh Library System","Edgar Thomson Works Letterpress Copy Book, 1876-1878, AIS.1994.03A, Archives & Special Collections, University of Pittsburgh Library System",,,Edgar Thomson Works Letterpress Copy Book,1876-1878,,AIS.1994.03.A,"Edgar Thomson Works Letterpress Copy Book\, AIS.1994.03A\, Archives & Special Collections\, University of Pittsburgh Library System",
"Pittsburgh & Lake Erie Railroad Company Records, 1850-1999",AIS.1982.23,"Archives & Special Collections, University of Pittsburgh Library System","Pittsburgh & Lake Erie Railroad Company Records, 1850-1999, AIS.1982.23, Archives & Special Collections, University of Pittsburgh Library System",,,Pittsburgh & Lake Erie Railroad Company Records,1860-1999,,AIS.1982.23,"Pittsburgh & Lake Erie Railroad Company Records\, 1850-1999\, AIS.1982.23\, Archives & Special Collections\, University of Pittsburgh Library System",
"Dick Thornburgh Papers, 1932-2020",AIS.1998.30.11,"Archives & Special Collections, University of Pittsburgh Library System","Dick Thornburgh Papers, 1932-2020, AIS.1998.30.11, Archives & Special Collections, University of Pittsburgh Library System",,,"Dick Thornburgh Papers\, Series XI. Governor of Pennsylvania",1979-1987,AIS.1998.30.11,,,"Dick Thornburgh Papers\, 1932- \, AIS.1998.30\, Archives Service Center\, University of Pittsburgh"
"Ohio Company Papers, 1736-1813",DAR.1925.02,"Darlington Collection, Archives & Special Collections, University of Pittsburgh Library System","Ohio Company Papers, 1736-1813, DAR.1925.02, Darlington Collection, Archives & Special Collections, University of Pittsburgh Library System",,,Ohio Company Papers,1736-1813,DAR.1925.02,,,"Ohio Company Papers\, 1736-1813\, DAR.1925.02\, Darlington Collection\, Archives & Special Collections\, University of Pittsburgh Library System"
"Ephraim Douglass Ledgers, 1769-1790",DAR.1937.07,"Darlington Collection, Archives & Special Collections, University of Pittsburgh Library System","Ephraim Douglass Ledgers, 1769-1790, DAR.1937.07, Darlington Collection, Archives & Special Collections, University of Pittsburgh Library System",,,Ephraim Douglass Ledgers,1769-1790,DAR.1937.07,,,"Ephraim Douglass Ledger Books\, 1769-1790\, DAR.1937.07\, Darlington Collection\, Archives & Special Collections\, University of Pittsburgh Library System"
"Thaddeus Sheldon Papers, 1853-1868",DAR.1960.01,"Darlington Collection, Archives & Special Collections, University of Pittsburgh Library System","Thaddeus Sheldon Papers, 1853-1868, DAR.1960.01, Darlington Collection, Archives & Special Collections, University of Pittsburgh Library System",,,Thaddeus Sheldon Papers,1853-1868,DAR.1960.01,,,"Thaddeus Sheldon Papers\, 1853-1868\, DAR.1960.01\, Darlington Collection\, Archives & Special Collections\, University of Pittsburgh Library System"
"Monongahela Navigation Company Copybook, 1840-1897",DAR.1937.41,"Darlington Collection, Archives & Special Collections, University of Pittsburgh Library System","Monongahela Navigation Company Copybook, 1840-1897, DAR.1937.41, Darlington Collection, Archives & Special Collections, University of Pittsburgh Library System",,,Monongahela Navigation Company Copybook,1840-1897,DAR.1937.41,,,"Monongahela Navigation Company Copybook\, 1840-1897\, DAR.1937.41\, Darlington Collection\, Archives & Special Collections\, University of Pittsburgh Library System"
"Thomas Mellon and William B. Negley Day Book, 1853-1860",DAR.1968.02,"Darlington Collection, Archives & Special Collections, University of Pittsburgh Library System","Thomas Mellon and William B. Negley Day Book, 1853-1860, DAR.1968.02, Darlington Collection, Archives & Special Collections, University of Pittsburgh Library System",,,Thomas Mellon and William B. Negley Day Book,1853-1860,DAR.1968.02,,,"Thomas Mellon and William B. Negley Day Book\, 1853-1860\, DAR.1968.02\, Darlington Collection\, Archives & Special Collections\, University of Pittsburgh Library System"
"Northern Liberties Bridge Company Ledger, 1836-1909",DAR.1937.24,"Darlington Collection, Archives & Special Collections, University of Pittsburgh Library System","Northern Liberties Bridge Company Ledger, 1836-1909, DAR.1937.24, Darlington Collection, Archives & Special Collections, University of Pittsburgh Library System",,,Northern Liberties Bridge Company Ledger,1836-1909,DAR.1937.24,,,"Northern Liberties Bridge Company Ledger\, 1836-1909\, DAR.1937.24\, Darlington Collection\, Archives & Special Collections\, University of Pittsburgh Library System"
"William M. Darlington Fort Pitt Copybooks, 1753-1782",DAR.1925.12,"Darlington Collection, Archives & Special Collections, University of Pittsburgh Library System","William M. Darlington Fort Pitt Copybooks, 1753-1782, DAR.1925.12, Darlington Collection, Archives & Special Collections, University of Pittsburgh Library System",,,William M. Darlington Fort Pitt Copybooks,1752-1782,DAR.1925.12,,,"William Darlington Fort Pitt Copybook\, 1753-1782\, DAR.1925.12\, Darlington Collection\, Archives & Special Collections\, University of Pittsburgh Library System"
"Machine Shop Ledger, 1865-1866",DAR.1937.27,"Darlington Collection, Archives & Special Collections, University of Pittsburgh Library System","Machine Shop Ledger, 1865-1866, DAR.1937.27, Darlington Collection, Archives & Special Collections, University of Pittsburgh Library System",,,Machine Shop Ledger,1865-1866,DAR.1937.27,,,"Machine Shop Ledger\,1865-1866\, DAR.1937.27\, Darlington Collection\, Archives & Special Collections\, University of Pittsburgh Library System"
"Charles Bonaventure Scully Journal, 1843",DAR.1954.01,"Darlington Collection, Archives & Special Collections, University of Pittsburgh Library System","Charles Bonaventure Scully Journal, 1843, DAR.1954.01, Darlington Collection, Archives & Special Collections, University of Pittsburgh Library System",,,Charles Bonaventure Scully Journal,1843,DAR.1954.01,,,"Charles Bonaventure Scully Journal\, 1843\, DAR.1954.01\, Darlington Collection\, Archives & Special Collections\, University of Pittsburgh Library System"
"Arlen Specter Senatorial Papers, 1930-2011",TJU.2010.01.06,Thomas Jefferson University (managed by the University of Pittsburgh Library System),"Arlen Specter Senatorial Papers, 1930-2011, TJU.2010.01.06, Thomas Jefferson University (managed by the University of Pittsburgh Library System)",,,"Arlen Specter Senatorial Papers\, Group 6. Public Relations and Media Files",1972-2010,TJU.2010.01.06,,,"Arlen Specter Senatorial Papers\, 1930-2011\, TJU.2010.01\, Thomas Jefferson University (managed by the University of Pittsburgh Library System)"
"Lieutenant Colonel Robert Stewart Letters, 1754-1755",DAR.1937.29,"Darlington Collection, Archives & Special Collections, University of Pittsburgh Library System","Lieutenant Colonel Robert Stewart Letters, 1754-1755, DAR.1937.29, Darlington Collection, Archives & Special Collections, University of Pittsburgh Library System",,,Lieutenant Colonel Robert Stewart Letters,1754-1755,DAR.1937.29,,,"Lieutenant Colonel Robert Stewart Letters\, 1754-1755\, DAR.1937.29\, Darlington Collection\, Archives & Special Collections\, University of Pittsburgh Library System"
"William and James Scull Survey Ledgers, 1766-1767",DAR.1937.18,"Darlington Collection, Archives & Special Collections, University of Pittsburgh Library System","William and James Scull Survey Ledgers, 1766-1767, DAR.1937.18, Darlington Collection, Archives & Special Collections, University of Pittsburgh Library System",,,William and James Scull Survey Ledgers,1766-1767,DAR.1937.18,,,"William and James Scull Survey Ledgers\, 1766-1767\, DAR.1937.18\, Darlington Collection\, Archives & Special Collections\, University of Pittsburgh Library System"
"Persis Kingsley Token Album, 1852-1854",DAR.1937.19,"Darlington Collection, Archives & Special Collections, University of Pittsburgh Library System","Persis Kingsley Token Album, 1852-1854, DAR.1937.19, Darlington Collection, Archives & Special Collections, University of Pittsburgh Library System",,,Persis Kingsley Token Album,1852-1854,DAR.1937.19,,,"Persis Kingsley Token Album\, 1852-1854\, DAR.1937.19\, Darlington Collection\, Archives & Special Collections\, University of Pittsburgh Library System"
"Minute Book of the American Party of Westmorland County, Pennsylvania, 1854-1855",DAR.1937.26,"Darlington Collection, Archives & Special Collections, University of Pittsburgh Library System","Minute Book of the American Party of Westmorland County, Pennsylvania, 1854-1855, DAR.1937.26, Darlington Collection, Archives & Special Collections, University of Pittsburgh Library System",,,"Minute Book of the American Party of Westmorland County\, Pennsylvania",1854-1855,DAR.1937.26,,,"Minute Book of the American Party of Westmorland County\, Pennsylvania\, 1854-1855\, DAR.1937.26\, Darlington Collection\, Archives & Special Collections\, University of Pittsburgh Library System"
"An Attempt to Describe the Future of the United States, 1863-1865",DAR.1937.06,"Darlington Collection, Archives & Special Collections, University of Pittsburgh Library System","An Attempt to Describe the Future of the United States, 1863-1865, DAR.1937.06, Darlington Collection, Archives & Special Collections, University of Pittsburgh Library System",,,An Attempt to Describe the Future of the United States,1863-1865,DAR.1937.06,,,"An Attempt to Describe the Future of the United States\, 1863-1865\, DAR.1937.06\, Darlington Collection\, Archives & Special Collections\, University of Pittsburgh Library System"
"V.F. Wachsmuth Treatise, 1858",DAR.1937.16,"Darlington Collection, Archives & Special Collections, University of Pittsburgh Library System","V.F. Wachsmuth Treatise, 1858, DAR.1937.16, Darlington Collection, Archives & Special Collections, University of Pittsburgh Library System",,,V.F. Wachsmuth Treatise,1858,DAR.1937.16,,,"V.F. Wachsmuth Treatise\, 1858\, DAR.1937.16\, Darlington Collection\, Archives & Special Collections\, University of Pittsburgh Library System"
"CONSOL Energy, Inc. Mine Maps and Records, 1857-2010",AIS.1991.16,"Archives & Special Collections, University of Pittsburgh Library System","CONSOL Energy, Inc. Mine Maps and Records, 1857-2010,  AIS.1991.16, Archives & Special Collections, University of Pittsburgh Library System",,,CONSOL Energy Inc. Mine Maps and Records,1857-2010,AIS.1991.16,,,"CONSOL Energy Inc. Mine Maps and Records Collection\, 1857-2010\, AIS.1991.16\, Archives & Special Collections\, University of Pittsburgh Library System"
"CONSOL Energy, Inc. Mine Maps and Records, 1857-2010",AIS.1991.16,"Archives & Special Collections, University of Pittsburgh Library System","CONSOL Energy, Inc. Mine Maps and Records, 1857-2010,  AIS.1991.16, Archives & Special Collections, University of Pittsburgh Library System",,,Archives of Industrial Society (AIS) Assorted Maps and Atlases,1788-1990,AIS.Maps,,,"CONSOL Energy Inc. Mine Maps and Records Collection\, 1857-2010\, AIS.1991.16\, Archives & Special Collections\, University of Pittsburgh Library System"
"Chinese Political Prisoner Photograph Collection, 1924-1946",EAL.2016.01,"Archives & Special Collections, University of Pittsburgh Library System","Chinese Political Prisoner Photograph Collection, 1924-1946, EAL.2016.01, Archives & Special Collections, University of Pittsburgh Library System",,,Chinese Political Prisoner Photograph Collection,1939,EAL.2016.01,,,"Chinese Political Prisoner Photograph Collection\, 1924-1946\, EAL.2016.01\, Archives & Special Collections\, University of Pittsburgh Library System"
"Dick Thornburgh Papers, 1932-2020",AIS.1998.30.17,"Archives & Special Collections, University of Pittsburgh Library System","Dick Thornburgh Papers, 1932-2020, AIS.1998.30.17, Archives & Special Collections, University of Pittsburgh Library System",,,"Dick Thornburgh Papers\, Series XVII. Ongoing Career",1993-,AIS.1998.30.17,,,"Dick Thornburgh Papers\, 1932- \, AIS.1998.30\, Archives & Special Collections\, University of Pittsburgh Library System"
"Dick Thornburgh Papers, 1932-2020",AIS.1998.30.16,"Archives & Special Collections, University of Pittsburgh Library System","Dick Thornburgh Papers, 1932-2020, AIS.1998.30.16, Archives & Special Collections, University of Pittsburgh Library System",,,"Dick Thornburgh Papers\, Series XVI. Articles and Op-Eds",1956-2013,AIS.1998.30.16,,,"Dick Thornburgh Papers\, 1932- \, AIS.1998.30\, Archives & Special Collections\, University of Pittsburgh Library System"
"Fur Trader's Journal, 1775",DAR.1937.17,"Darlington Collection, Archives & Special Collections, University of Pittsburgh Library System","Fur Trader's Journal, 1775, DAR.1937.17, Darlington Collection, Archives & Special Collections, University of Pittsburgh Library System",,,Fur Trader's Journal,1775,DAR.1937.17,,,"Fur Trader's Journal\, 1775\, DAR.1937.17\, Darlington Collection\, Archives & Special Collections\, University of Pittsburgh Library System"
"Extension of the Pittsburgh City Limits Minute Book, 1836-1841",DAR.1937.36,"Darlington Collection, Archives & Special Collections, University of Pittsburgh Library System","Extension of the Pittsburgh City Limits Minute Book, 1836-1841, DAR.1937.36, Darlington Collection, Archives & Special Collections, University of Pittsburgh Library System",,,Extension of the Pittsburgh City Limits Minute Book,1836-1841,DAR.1937.36,,,"Extension of the Pittsburgh City Limits Minute Book\, 1836-1841\, DAR.1937.36\, Darlington Collection\, Archives & Special Collections\, University of Pittsburgh Library System"
"James Veech Copybook of the General William Irvine Papers, 1778-1822",DAR.1925.11,"Darlington Collection, Archives & Special Collections, University of Pittsburgh Library System","James Veech Copybook of the General William Irvine Papers, 1778-1822, DAR.1925.11, Darlington Collection, Archives & Special Collections, University of Pittsburgh Library System",,,James Veech Copybook of the General William Irvine Papers,1778-1822,DAR.1925.11,,,"James Veech Copybook of the General William Irvine Papers\, 1778-1822\, DAR.1925.11\, Darlington Collection\, Archives & Special Collections\, University of Pittsburgh Library System"
"Tax-book of Pitt Township, Allegheny County, Pennsylvania, 1795-1798",DAR.1941.01,"Darlington Collection, Archives & Special Collections, University of Pittsburgh Library System","Tax-book of Pitt Township, Allegheny County, Pennsylvania, 1795-1798, DAR.1941.01, Darlington Collection, Archives & Special Collections, University of Pittsburgh Library System",,,"Tax-book of Pitt Township\, Allegheny County\, Pennsylvania",1795-1798,DAR.1941.01,,,"Tax-book of Pitt Township\, Allegheny County\, Pennsylvania\, 1795-1798\, DAR.1941.01\, Darlington Collection\, Archives & Special Collections\, University of Pittsburgh Library System"
"Branton H. Henderson Papers, 1833-1888",DAR.1937.11,"Darlington Collection, Archives & Special Collections, University of Pittsburgh Library System","Branton H. Henderson Papers, 1833-1888, DAR.1937.11, Darlington Collection, Archives & Special Collections, University of Pittsburgh Library System",,,Branton H. Henderson Papers,1833-1888,DAR.1937.11,,,"Branton H. Henderson Papers\, 1833-1888\, DAR.1937.11\, Darlington Collection\, Archives & Special Collections\, University of Pittsburgh Library System"
"Dick Thornburgh Papers, 1932-2020",AIS.1998.30.07,"Archives & Special Collections, University of Pittsburgh Library System","Dick Thornburgh Papers, 1932-2020, AIS.1998.30.07, Archives & Special Collections, University of Pittsburgh Library System",,,"Dick Thornburgh Papers\, Series VII. U.S. Attorney for Western Pennsylvania",1969-1975,AIS.1998.30.07,,,"Dick Thornburgh Papers\, 1932- \, AIS.1998.30\, Archives & Special Collections\, University of Pittsburgh Library System"
"Dick Thornburgh Papers, 1932-2020",AIS.1998.30.11,"Archives & Special Collections, University of Pittsburgh Library System","Dick Thornburgh Papers, 1932-2020, AIS.1998.30.11, Archives & Special Collections, University of Pittsburgh Library System",,,"Dick Thornburgh Papers\, Series XI. Governor of Pennsylvania",1979-1987,AIS.1998.30.11,,,"Dick Thornburgh Papers\, 1932- \, AIS.1998.30\, Archives & Special Collections\, University of Pittsburgh Library System"
"Dick Thornburgh Papers, 1932-2020",AIS.1998.30.13,"Archives & Special Collections, University of Pittsburgh Library System","Dick Thornburgh Papers, 1932-2020, AIS.1998.30.13, Archives & Special Collections, University of Pittsburgh Library System",,,"Dick Thornburgh Papers\, Series XIII. Attorney General of the United States",1988-1991,AIS.1998.30.13,,,"Dick Thornburgh Papers\, 1932- \, AIS.1998.30\, Archives & Special Collections\, University of Pittsburgh Library System"
"Dick Thornburgh Papers, 1932-2020",AIS.1998.30.08,"Archives & Special Collections, University of Pittsburgh Library System","Dick Thornburgh Papers, 1932-2020, AIS.1998.30.08, Archives & Special Collections, University of Pittsburgh Library System",,,"Dick Thornburgh Papers\, Series VIII. Assistant Attorney General\, Criminal Division",1975-1977,AIS.1998.30.08,,,"Dick Thornburgh Papers\, 1932- \, AIS.1998.30\, Archives & Special Collections\, University of Pittsburgh Library System"
"Dick Thornburgh Papers, 1932-2020",AIS.1998.30.09,"Archives & Special Collections, University of Pittsburgh Library System","Dick Thornburgh Papers, 1932-2020, AIS.1998.30.09, Archives & Special Collections, University of Pittsburgh Library System",,,"Dick Thornburgh Papers\, Series IX. Campaign for Governor of Pennsylvania",1978,AIS.1998.30.09,,,"Dick Thornburgh Papers\, 1932- \, AIS.1998.30\, Archives & Special Collections\, University of Pittsburgh Library System"
"Dick Thornburgh Papers, 1932-2020",AIS.1998.30.03,"Archives & Special Collections, University of Pittsburgh Library System","Dick Thornburgh Papers, 1932-2020, AIS.1998.30.03, Archives & Special Collections, University of Pittsburgh Library System",,,"Dick Thornburgh Papers\, Series III. Pittsburgh Civic Activity",1960s-1970s,AIS.1998.30.03,,,"Dick Thornburgh Papers\, 1932- \, AIS.1998.30\, Archives & Special Collections\, University of Pittsburgh Library System"
"Dick Thornburgh Papers, 1932-2020",AIS.1998.30.05,"Archives & Special Collections, University of Pittsburgh Library System","Dick Thornburgh Papers, 1932-2020, AIS.1998.30.05, Archives & Special Collections, University of Pittsburgh Library System",,,"Dick Thornburgh Papers\, Series V. Campaign for U.S. Congress",1966,AIS.1998.30.05,,,"Dick Thornburgh Papers\, 1932- \, AIS.1998.30\, Archives & Special Collections\, University of Pittsburgh Library System"
"Dick Thornburgh Papers, 1932-2020",AIS.1998.30.10,"Archives & Special Collections, University of Pittsburgh Library System","Dick Thornburgh Papers, 1932-2020, AIS.1998.30.10, Archives & Special Collections, University of Pittsburgh Library System",,,"Dick Thornburgh Papers\, Series X. Re-election Campaign for Governor",1982,AIS.1998.30.10,,,"Dick Thornburgh Papers\, 1932- \, AIS.1998.30\, Archives & Special Collections\, University of Pittsburgh Library System"
"Bruno De Finetti Papers, 1924-2000",ASP.1992.01,"Archives of Scientific Philosophy, Archives & Special Collections, University of Pittsburgh Library System","Bruno De Finetti Papers, 1924-2000, ASP.1992.01, Archives of Scientific Philosophy, Archives & Special Collections, University of Pittsburgh Library System",,,Bruno De Finetti Papers,1924-2000,ASP.1992.01,,,"Bruno de Finetti Papers\, 1924-2000\, ASP.1992.01\, Archives of Scientific Philosophy\, Archives & Special Collections\, University of Pittsburgh"
"Wilfrid S. Sellars Papers, 1899-1990",ASP.1991.01,"Archives of Scientific Philosophy, Archives & Special Collections, University of Pittsburgh Library System","Wilfrid S. Sellars Papers, 1899-1990, ASP.1991.01, Archives of Scientific Philosophy, Archives & Special Collections, University of Pittsburgh Library System",,,Wilfrid S. Sellars Papers,1899-1990,ASP.1991.01,,,"Wilfrid S. Sellars Papers\, 1899-1990\, ASP.1991.01\, Archives of Scientific Philosophy\, Archives & Special Collections\, University of Pittsburgh."
"Frank Plumpton Ramsey Papers, 1920-1930",ASP.1983.01,"Archives of Scientific Philosophy, Archives & Special Collections, University of Pittsburgh Library System","Frank Plumpton Ramsey Papers, 1920-1930, ASP.1983.01, Archives of Scientific Philosophy, Archives & Special Collections, University of Pittsburgh Library System",,,Frank Plumpton Ramsey Papers,1920-1930,ASP.1983.01,,,"Frank Plumpton Ramsey Papers\, 1920-1930\, ASP.1983.01\, Archives of Scientific Philosophy\, Archives & Special Collections\, University of Pittsburgh"
"Wilfrid S. Sellars Papers, 1899-1990",ASP.1991.01,"Archives of Scientific Philosophy, Archives & Special Collections, University of Pittsburgh Library System","Wilfrid S. Sellars Papers, 1899-1990, ASP.1991.01, Archives of Scientific Philosophy, Archives & Special Collections, University of Pittsburgh Library System",,,Wilfrid S. Sellars Papers,1899-1990,ASP.1991.01,,,"Wilfrid S. Sellars Papers\, 1899-1990\, ASP.1991.01\, Archives of Scientific Philosophy\, Archives & Special Collections\, University of Pittsburgh Library System"
"National Council of Jewish Women, Pittsburgh Section Records, 1894-2011",AIS.1964.40,"Archives & Special Collections, University of Pittsburgh Library System","National Council of Jewish Women, Pittsburgh Section Records, 1894-2011, AIS.1964.40, Archives & Special Collections, University of Pittsburgh Library System",,,"National Council of Jewish Women (NCJW)\, Pittsburgh Section\, Records",1894-2011,AIS.1964.40,,,"National Council of Jewish Women\, Pittsburgh Section Records\, 1894-2011\, AIS.1964.40\, Archives & Special Collections\, University of Pittsburgh Library System"
"American Left Ephemera Collection, 1875-2015",AIS.2007.11,"Archives & Special Collections, University of Pittsburgh Library System","American Left Ephemera Collection, 1875-2015, AIS.2007.11, Archives & Special Collections, University of Pittsburgh Library System",,,American Left Ephemera Collection,1894-2008,AIS.2007.11,,,"American Left Ephemera Collection\, 1894-2008\, AIS.2007.11\, Archives Service Center\, University of Pittsburgh Library System"
"American Left Ephemera Collection, 1875-2015",AIS.2007.11,"Archives & Special Collections, University of Pittsburgh Library System","American Left Ephemera Collection, 1875-2015, AIS.2007.11, Archives & Special Collections, University of Pittsburgh Library System",,,American Left Ephemera Collection,1875-2014,AIS.2007.11,,,"American Left Ephemera Collection\, 1894-2008\, AIS.2007.11\, Archives Service Center\, University of Pittsburgh Library System"
"Dick Thornburgh Papers, 1932-2020",AIS.1998.30.09,"Archives & Special Collections, University of Pittsburgh Library System","Dick Thornburgh Papers, 1932-2020, AIS.1998.30.09, Archives & Special Collections, University of Pittsburgh Library System",,,"Dick Thornburgh Papers\, Series IX. Campaign for Governor of Pennsylvania",1978,AIS.1998.30.09,,,"Dick Thornburgh Papers\, 1932- \, AIS.1998.30\, Archives Service Center\, University of Pittsburgh"
