Solr_Field,Original_Name,Valid_Name,URI,Authority,Type,Relator,Action
mods_subject_topic_ms,"Adams, Valerie","Adams, Valerie",,local,personal,,
mods_subject_topic_ms,"Addison, Alexander, 1759-1807.","Addison, Alexander, 1759-1807",http://id.loc.gov/authorities/names/n83170975,naf,personal,,replace
mods_subject_name_personal_namePart_ms,"Addison, Alexander, 1759-1807","Addison, Alexander, 1759-1807",http://id.loc.gov/authorities/names/n83170975,naf,personal,,
mods_subject_topic_ms,"Addison, Joseph, 1672-1719.","Addison, Joseph, 1672-1719",http://id.loc.gov/authorities/names/n80051828,naf,personal,,replace
mods_subject_topic_ms,"Adelman, Fred","Adelman, Fred",http://id.loc.gov/authorities/names/no00061706,naf,personal,,
mods_subject_topic_ms,"Adlard, Henry.","Adlard, Henry",http://id.loc.gov/authorities/names/nr92044327,naf,personal,,replace
mods_subject_topic_ms,"Adrian, Aline ""Skippy""","Adrian, Aline ""Skippy""",,local,personal,,
mods_subject_topic_ms,"Adrien, Claude.","Adrien, Claude",,local,personal,,replace
mods_subject_name_corporate_namePart_ms,"African Heritage Classroom (Cathedral of Learning, Pittsburgh, Pa.)","Cathedral of Learning (Pittsburgh, Pa.). African Heritage Room",,local,corporate,,replace
mods_subject_topic_ms,African Methodist Episcopal Church,African Methodist Episcopal Church,http://id.loc.gov/authorities/names/n80060458,naf,corporate,,
mods_subject_name_personal_namePart_ms,"Agee, James, 1909-1955","Agee, James, 1909-1955",http://id.loc.gov/authorities/names/n79039544,naf,personal,,
mods_subject_topic_ms,"Agnew Glass Company (Oakmont, Pa.)","Agnew Glass Company (Oakmont, Pa.)",,local,corporate,,
mods_subject_topic_ms,Agricultural Building,"Agricultural Building (Century of Progress International Exposition, 1933-1934, Chicago, Ill.)",,local,corporate,,replace
mods_subject_topic_ms,"Aguzzoli, N. P.","Aguzzoli, N. P.",,local,personal,,
mods_subject_topic_ms,"Aherne, Brian, 1902-1986.","Aherne, Brian, 1902-1986",http://id.loc.gov/authorities/names/n85138108,naf,personal,,replace
mods_subject_topic_ms,Ahlers &amp,"Ahlers & Bergman (Pittsburgh, Pa.)",,local,corporate,,replace
mods_subject_topic_ms,"Ahlers, Helen","Ahlers, Helen",,local,personal,,
mods_subject_topic_ms,"Aiello, J. B.","Aiello, J. B.",,local,personal,,
mods_subject_topic_ms,"Aiken, Rachel C.","Aiken, Rachel C.",,local,personal,,
mods_subject_topic_ms,"Aiken, William, 1947-","Aiken, William, 1947-",http://id.loc.gov/authorities/names/n79148899,naf,personal,,
mods_subject_topic_ms,Air 1007 PCC (Trolley Car),Air 1007 PCC (Trolley Car),,local,corporate,,
mods_subject_topic_ms,Air 1644 PCC (Trolley car),Air 1644 PCC (Trolley car),,local,corporate,,
mods_subject_topic_ms,"Ajax Manufacturing (Allegheny City, Pa.)","Ajax Manufacturing (Allegheny City, Pa.)",,local,corporate,,
mods_subject_topic_ms,"Ajibola, Bola, Prince","Ajibola, Bola, Prince",http://id.loc.gov/authorities/names/n91044166,naf,personal,,
mods_subject_name_personal_namePart_ms,"Akhmatova, Anna Andreevna, 1889-1966","Akhmatova, Anna Andreevna, 1889-1966",http://id.loc.gov/authorities/names/n50040155,naf,personal,,
mods_subject_topic_ms,"Al Seeward Farm Poultry (Pittsburgh, Pa.)","Al Seeward Farm Poultry (Pittsburgh, Pa.)",,local,corporate,,
mods_subject_topic_ms,"Monk, George, 1608-1669.","Albemarle, George Monck, Duke of, 1608-1670",http://id.loc.gov/authorities/names/n50036273,naf,personal,,replace
mods_subject_topic_ms,"Albert L. Brahm Co. (Pittsburgh, Pa.)","Albert L. Brahm Co. (Pittsburgh, Pa.)",,local,corporate,,
mods_subject_topic_ms,Alcan Aluminum Corporation,Alcan Aluminum Corporation,http://id.loc.gov/authorities/names/no00004104,naf,corporate,,
mods_subject_topic_ms,"Alcibiades, 450-404 BC.","Alcibiades, 450-404 B.C.",,local,personal,,replace
mods_subject_topic_ms,"Alcoa Building (Pittsburgh, Pa.)","Alcoa Building (Pittsburgh, Pa.)",,local,corporate,,
mods_subject_topic_ms,"Alcock, John, c.1430-1500","Alcock, John, 1430-1500",http://id.loc.gov/authorities/names/nr92044424,naf,personal,,replace
mods_subject_topic_ms,"Alcorn, R. D.","Alcorn, R. D.",,local,personal,,
mods_subject_topic_ms,"Alda, Robert.","Alda, Robert",,local,personal,,replace
mods_subject_topic_ms,"Alden, Timothy","Alden, Timothy, 1771-1839",http://id.loc.gov/authorities/names/n83126853,naf,personal,,replace
mods_subject_topic_ms,Alder Planetarium,"Alder Planetarium (Chicago, Ill.)",,local,corporate,,replace
mods_subject_topic_ms,"Alderman, Helen Gross","Alderman, Helen Gross",,local,personal,,
mods_subject_topic_ms,"Le Rond D'Almbert, John, 1717-1783","Alembert, Jean Le Rond d', 1717-1783",http://id.loc.gov/authorities/names/n50059010,naf,personal,,replace
mods_subject_topic_ms,"Alexander Farnese, Duke of Parma and Piacenze, 1545-1592","Alessandro Farnese, Duke of Parma, 1545-1592",http://id.loc.gov/authorities/names/nr90023912,naf,personal,,replace
mods_subject_topic_ms,"Alexander Johnston House (Latrobe, Pa.), Kingston House (Latrobe, Pa.)","Alexander Johnston House (Latrobe, Pa.)",,local,corporate,,replace
mods_subject_topic_ms,"Alexander, Edward.","Alexander, Edward",,local,personal,,replace
mods_subject_name_personal_namePart_ms,"Alexander, John White, 1856-1915","Alexander, John White, 1856-1915",http://id.loc.gov/authorities/names/n50033313,naf,personal,,
mods_subject_name_personal_namePart_ms,"Alexander, Maitland, 1867-1940","Alexander, Maitland, 1867-1940",http://id.loc.gov/authorities/names/no94035369,naf,personal,,
mods_subject_topic_ms,"Alexander, the Great, 356-323 B.C.","Alexander, the Great, 356 B.C.-323 B.C.",http://id.loc.gov/authorities/names/n79004067,naf,personal,,replace
mods_subject_name_personal_namePart_ms,"Alexandra, Queen, consort of Edward VII, King of Great Britain, 1844-1925","Alexandra, Queen, consort of Edward VII, King of Great Britain, 1844-1925",http://id.loc.gov/authorities/names/n50033332,naf,personal,,
mods_subject_topic_ms,"Alfred, 849-899.","Alfred, 849-899",,local,personal,,replace
mods_subject_topic_ms,"Alice M. Carmalt School (Pittsburgh, Pa.)","Alice M. Carmalt School (Pittsburgh, Pa.)",,local,corporate,,
mods_subject_topic_ms,Aliquippa (Towboat),Aliquippa (Towboat),,local,corporate,,
mods_subject_name_corporate_namePart_ms,All American Aviation (Firm),All American Aviation (Firm),http://id.loc.gov/authorities/names/n86056770,naf,corporate,,
mods_subject_topic_ms,"All City Student Council.Operation Cookie Box (Pittsburgh, Pa.)","All City Student Council. Operation Cookie Box (Pittsburgh, Pa.)",,local,corporate,,replace
mods_subject_name_corporate_namePart_ms,"All Saints Church (East Vandergrift, Pa.)","All Saints Parish (East Vandergrift, Pa.)",,local,corporate,,replace
mods_subject_name_corporate_namePart_ms,"All Saints Polish National Catholic Church (Carnegie, Pa.)",All Saints Polish National Catholic Church,http://id.loc.gov/authorities/names/n90712315,naf,corporate,,replace
mods_subject_topic_ms,"All-City Elementary Schools Chorus (Pittsburgh, Pa.)","All-City Elementary Schools Chorus (Pittsburgh, Pa.)",,local,corporate,,
mods_subject_topic_ms,"All-City Girls Chorus (Pittsburgh, Pa.)",All-City Girls Chorus,,local,corporate,,add
mods_subject_topic_ms,"All-City Orchestra (Pittsburgh, Pa.)","All-City High Schools Orchestra (Pittsburgh, Pa.)",,local,corporate,,replace
mods_subject_topic_ms,"All-City High Schools Orchestra (Pittsburgh, Pa.)","All-City High Schools Orchestra (Pittsburgh, Pa.)",,local,corporate,,
mods_subject_topic_ms,"All-City Junior Chorus (Pittsburgh, Pa.)",All-City Junior Chorus,,local,corporate,,add
mods_subject_topic_ms,"All-City Symphony Orchestra (Pittsburgh, Pa.)",All-City Symphony Orchestra,,local,corporate,,add
mods_subject_topic_ms,"Allais, Louis-Jean.","Allais, Louis-Jean, 1762-1833",http://id.loc.gov/authorities/names/n2024061287,naf,personal,,replace
mods_subject_topic_ms,"Allan School (Pittsburgh, Pa.).Library.","Allan School (Pittsburgh, Pa.). Library",,local,corporate,,replace
mods_subject_topic_ms,"Allan, Nan","Allan, Nan",,local,personal,,
mods_subject_topic_ms,"Taylor Allderdice High School (Pittsburgh, Pa.).Band.",Allderdice High School Concert Band,http://id.loc.gov/authorities/names/no2010111688,naf,corporate,,replace
mods_subject_topic_ms,Allegheny (Pa.).Fire Dept. Engine Company No. 7.,Allegheny (Pa.). Fire Department Engine Company No. 7,,local,corporate,,replace
mods_subject_topic_ms,"Allegeheny Arsenal (Pittsburgh, Pa.)","Allegheny Arsenal (Pittsburgh, Pa.)",http://id.loc.gov/authorities/names/n00042253,naf,corporate,,replace
mods_subject_topic_ms,"Allegheny Arsenal (Pittsburgh, Pa.).Shop.","Allegheny Arsenal (Pittsburgh, Pa.)",http://id.loc.gov/authorities/names/n00042253,naf,corporate,,replace
mods_subject_topic_ms,"Allegheny Arsenal (Pittsburgh, Pa.).Shop.","Allegheny Arsenal (Pittsburgh, Pa.)",http://id.loc.gov/authorities/names/n00042253,naf,corporate,,split
mods_subject_topic_ms,"Allegheny Arsenal (Pittsburgh, Pa.).Shop.","Allegheny Arsenal (Pittsburgh, Pa.). Shop",,local,corporate,,replace
mods_subject_topic_ms,"Allegheny Asphalt and Paving Company (Pittsburgh, Pa.)","Allegheny Asphalt and Paving Company (Pittsburgh, Pa.)",,local,corporate,,
mods_subject_topic_ms,"Allegheny Building (Pittsburgh, Pa.)","Allegheny Building (Pittsburgh, Pa.)",,local,corporate,,
mods_subject_topic_ms,"Allegheny Cemetery (Pittsburgh, Pa.).Penn Avenue Gatehouse.","Allegheny Cemetery (Pittsburgh, Pa.)",http://id.loc.gov/authorities/names/n96079489,naf,corporate,,split
mods_subject_topic_ms,"Allegheny Cemetery (Pittsburgh, Pa.)","Allegheny Cemetery (Pittsburgh, Pa.)",http://id.loc.gov/authorities/names/n96079489,naf,corporate,,
mods_subject_topic_ms,"Allegheny Cemetery (Pittsburgh, Pa.).Penn Avenue Gatehouse.","Allegheny Cemetery (Pittsburgh, Pa.)",http://id.loc.gov/authorities/names/n96079489,naf,corporate,,split
mods_subject_name_corporate_namePart_ms,"Allegheny Cemetery (Pittsburgh, Pa.)","Allegheny Cemetery (Pittsburgh, Pa.)",http://id.loc.gov/authorities/names/n96079489,naf,corporate,,
mods_subject_topic_ms,"Allegheny Cemetery (Pittsburgh, Pa.).Penn Avenue Gatehouse.","Allegheny Cemetery (Pittsburgh, Pa.). Penn Avenue Gatehouse",,local,corporate,,replace
mods_subject_topic_ms,Allegheny College,"Allegheny College (Meadville, Pa.)",http://id.loc.gov/authorities/names/n79073694,naf,corporate,,replace
mods_subject_topic_ms,"Allegheny Commons East (Pittsburgh, Pa.)","Allegheny Commons (Pittsburgh, Pa.)",,local,corporate,,replace
mods_subject_topic_ms,"Allegheny Commons East Apartments (Pittsburgh, Pa.)","Allegheny Commons (Pittsburgh, Pa.)",,local,corporate,,replace
mods_subject_name_corporate_namePart_ms,Wesleyan Methodist Connection (or Church) of America. Allegheny Conference,Wesleyan Methodist Connection (or Church) of America,http://id.loc.gov/authorities/names/n50003440,naf,corporate,,split
mods_subject_name_corporate_namePart_ms,Wesleyan Methodist Connection (or Church) of America. Allegheny Conference,Wesleyan Methodist Church of America. Allegheny Conference,http://id.loc.gov/authorities/names/no2006116010,naf,corporate,,add
mods_subject_name_corporate_namePart_ms,Wesleyan Methodist Connection (or Church) of America. Allegheny Conference,Allegheny Wesleyan Methodist Connection (Original Allegheny Conference),http://id.loc.gov/authorities/names/no2006113002,naf,corporate,,add
mods_subject_name_corporate_namePart_ms,Allegheny County Board of Commissioners,Allegheny County (Pa.). Board of Commissioners,http://id.loc.gov/authorities/names/no90008375,naf,corporate,,replace
mods_subject_name_corporate_namePart_ms,Allegheny County (Pa.). Bureau of Parks,Allegheny County (Pa.). Bureau of Parks,http://id.loc.gov/authorities/names/n87934003,naf,corporate,,
mods_subject_topic_ms,Allegheny County (Pa.).Parks Department.Hartwood Acres.,"Allegheny County (Pa.). Department of Parks, Recreation, and Conservation",http://id.loc.gov/authorities/names/n00112485,naf,corporate,,split
mods_subject_topic_ms,"Allegheny County (Pa.).Department of Parks, Recreation, and Conservation.North Park.","Allegheny County (Pa.). Department of Parks, Recreation, and Conservation",http://id.loc.gov/authorities/names/n00112485,naf,corporate,,split
mods_subject_topic_ms,Allegheny County (Pa.).Parks Department.Boyce Park.,"Allegheny County (Pa.). Department of Parks, Recreation, and Conservation",http://id.loc.gov/authorities/names/n00112485,naf,corporate,,split
mods_subject_topic_ms,Allegheny County Parks Department.South Park.Horseshoe Courts.,"Allegheny County (Pa.). Department of Parks, Recreation, and Conservation",http://id.loc.gov/authorities/names/n00112485,naf,corporate,,split
mods_subject_topic_ms,Allegheny County Parks Department.South Park.,"Allegheny County (Pa.). Department of Parks, Recreation, and Conservation",http://id.loc.gov/authorities/names/n00112485,naf,corporate,,split
mods_subject_topic_ms,Pittsburgh (Pa.).Parks and Recreation.Frick Park.,Pittsburgh (Pa.). Department of Parks and Recreation,http://id.loc.gov/authorities/names/n82097296,naf,corporate,,split
mods_subject_topic_ms,Pittsburgh (Pa.).Department of Parks and Recreation.Roving Art Cart.,"Allegheny County (Pa.). Department of Parks, Recreation, and Conservation",http://id.loc.gov/authorities/names/n00112485,naf,corporate,,split
mods_subject_topic_ms,"Allegheny County (Pa.).Department of Parks, Recreation, and Conservation.South Park.","Allegheny County (Pa.). Department of Parks, Recreation, and Conservation",http://id.loc.gov/authorities/names/n00112485,naf,corporate,,split
mods_subject_topic_ms,Allegheny County (Pa.).Department of Parks.North Park.,"Allegheny County (Pa.). Department of Parks, Recreation, and Conservation",http://id.loc.gov/authorities/names/n00112485,naf,corporate,,split
mods_subject_topic_ms,Allegheny County.Parks Department.North Park.,"Allegheny County (Pa.). Department of Parks, Recreation, and Conservation",http://id.loc.gov/authorities/names/n00112485,naf,corporate,,split
mods_subject_topic_ms,Allegheny County.Parks Department.North Park.Skating Rink.,"Allegheny County (Pa.). Department of Parks, Recreation, and Conservation",http://id.loc.gov/authorities/names/n00112485,naf,corporate,,split
mods_subject_topic_ms,"Allegheny County (Pa.).Departrment of Parks, Recreation, and Conservation.South Park.","Allegheny County (Pa.). Department of Parks, Recreation, and Conservation",http://id.loc.gov/authorities/names/n00112485,naf,corporate,,split
