term,code,note
"mixing engineer",mxe,
"moderator",mod,
"monitor",mon,
"motion picture editor",flm,
"moving image work editor",edm,
"music copyist",mcp,
"music programmer",mup,
"musical director",msd,
"musician",mus,
"narrator",nrt,
"news anchor",nan,
"observer",wit,
"onlooker",wit,
"onscreen participant",onp,
"onscreen presenter",osp,
"opponent",opn,
"organizer",orm,
"organizer of meeting",orm,
"originator",org,
"other",oth,
"owner",own,
"panelist",pan,
"papermaker",ppm,
"patent applicant",pta,
"patent holder",pth,
"patent inventor",inv,
"patentee",pth,
"patron",pat,
"penciller",pnc,
"performer",prf,
"performer of research",res,
"permitting agency",pma,
"photographer",pht,
"place of address",pad,
"plaintiff",ptf,
"plaintiff corporate body",ptf,
"plaintiff person",ptf,
"plaintiff-appellant",ptt,
"plaintiff-appellee",pte,
"platemaker",plt,
"plates, printer of",pop,
"praeses",pra,
"presenter",pre,
"preservationist",con,
"printer",prt,
"printer of plates",pop,
"printmaker",prm,
"process contact",prc,
"producer",pro,
"producer of book",bkp,
"production company",prn,
"production designer",prs,
"production manager",pmn,
"production place",prp,
"programmer",prg,
"project director",pdr,
"project supervisor",pdr,
"promoter",ths,
"proofreader",pfr,
"provider",prv,
"publication place",pup,
"publisher",pbl,
"publishing director",pbd,
"puppeteer",ppt,
"radio director",rdd,
"radio producer",rpc,
"rapporteur",rap,
"recipient",rcp,
"recording engineer",rce,
"recordist",rcd,
"redaktor",red,
"remix artist",rxa,
"renderer",ren,
"reporter",rpt,
"repository",rps,
"research supervisor",rth,
"research team head",rth,
"research team member",rtm,
"researcher",res,
"respondent",rsp,
"respondent-appellant",rst,
"respondent-appellee",rse,
"responsible party",rpy,
"restager",rsg,
"restorationist",rsr,
"reviewer",rev,
"rubricator",rbr,
"scenarist",sce,
"scientific advisor",sad,
"screenwriter",aus,
"scribe",scr,
"sculptor",scl,
"second party",spy,
"secretary",sec,
"seller",sll,
"set designer",std,
"setting",stg,
"signer",sgn,
"singer",sng,
"software developer",swd,
"sound designer",sds,
"sound engineer",sde,
"speaker",spk,
"special effects provider",sfx,
"sponsor",spn,
"sponsored work",spn,
"sponsoring body",spn,
"stage director",sgd,
"stage manager",stm,
"standards body",stn,
"stereotyper",str,
"storyteller",stl,
"supporting host",sht,
"supposed name",att,
"surveyor",srv,
"teacher",tch,
"technical advisor",tad,
"technical director",tcd,
"technical draftsman",drm,
"television director",tld,
"television guest",tlg,
"television host",tlh,
"television producer",tlp,
"television writer",tau,
"testifier",wit,
"thesis advisor",ths,
"transcriber",trc,
"translator",trl,
"type designer",tyd,
"typesetter",cmt,
"typographer",tyg,
"university place",uvp,
"videographer",vdg,
"visual effects provider",vfx,
"vocalist",sng,
"voice actor",vac,
"witness",wit,
"wood engraver",wde,
"woodcutter",wdc,
"writer of accompanying material",wam,
"writer of added commentary",wac,
"writer of added lyrics",wal,
"writer of added text",wat,
"writer of afterword",waw,
"writer of film story",wfs,
"writer of foreword",wfw,
"writer of intertitles",wft,
"writer of introduction",win,
"writer of postface",waw,
"writer of preface",wpr,
"writer of supplementary textual content",wst,
"writer of television story",wts,
